%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1651108791791680029,152,1651108791790347596,,0.0,0.0,1.02610767464423,0.0,0.0,0.0,1.0
1651108791841471013,153,1651108791840260766,,0.0,0.0,1.033269904912927,0.0,0.0,0.0,1.0
1651108791891664075,154,1651108791890213467,,0.0,0.0,1.0415895775946125,0.0,0.0,0.0,1.0
1651108791941348497,155,1651108791940361582,,0.0,0.0,1.0500547002899219,0.0,0.0,0.0,1.0
1651108791991711245,156,1651108791990293709,,0.0,0.0,1.0577296002780598,0.0,0.0,0.0,1.0
1651108792041400357,157,1651108792040300943,,0.0,0.0,1.0640152498188529,0.0,0.0,0.0,1.0
1651108792091414674,158,1651108792090456196,,0.0,0.0,1.068440279441113,0.0,0.0,0.0,1.0
1651108792141549198,159,1651108792140335463,,0.0,0.0,1.070952592636074,0.0,0.0,0.0,1.0
1651108792191342841,160,1651108792190429102,,0.0,0.0,1.0716984204025861,0.0,0.0,0.0,1.0
1651108792241491844,161,1651108792240271911,,0.0,0.0,1.0713333739261284,0.0,0.0,0.0,1.0
1651108792291411579,162,1651108792290448934,,0.0,0.0,1.070349850175076,0.0,0.0,0.0,1.0
1651108792341763913,163,1651108792340594917,,0.0,0.0,1.0693543970356842,0.0,0.0,0.0,1.0
1651108792391677399,164,1651108792390311216,,0.0,0.0,1.0686423645955867,0.0,0.0,0.0,1.0
1651108792441714684,165,1651108792440280534,,0.0,0.0,1.0683227362206558,0.0,0.0,0.0,1.0
1651108792491840250,166,1651108792490443027,,0.0,0.0,1.068304081638651,0.0,0.0,0.0,1.0
1651108792541861234,167,1651108792540287242,,0.0,0.0,1.0683328914735222,0.0,0.0,0.0,1.0
1651108792591531909,168,1651108792590308799,,0.0,0.0,1.0681786980325045,0.0,0.0,0.0,1.0
1651108792641697996,169,1651108792640321137,,0.0,0.0,1.0676675194187,0.0,0.0,0.0,1.0
1651108792691549606,170,1651108792690593368,,0.0,0.0,1.0667016348134706,0.0,0.0,0.0,1.0
1651108792741502987,171,1651108792740305761,,0.0,0.0,1.0653053773360117,0.0,0.0,0.0,1.0
1651108792791773134,172,1651108792790446067,,0.0,0.0,1.063533704297096,0.0,0.0,0.0,1.0
1651108792841723755,173,1651108792840275230,,0.0,0.0,1.0615209438993494,0.0,0.0,0.0,1.0
1651108792891600157,174,1651108792890481524,,0.0,0.0,1.0593839982104807,0.0,0.0,0.0,1.0
1651108792942122489,175,1651108792940840837,,0.0,0.0,1.0572343569974867,0.0,0.0,0.0,1.0
1651108792991980766,176,1651108792990647969,,0.0,0.0,1.0552048800728884,0.0,0.0,0.0,1.0
1651108793041653788,177,1651108793040372761,,0.0,0.0,1.0533148196264557,0.0,0.0,0.0,1.0
1651108793091984406,178,1651108793090280363,,0.0,0.0,1.0515447533672762,0.0,0.0,0.0,1.0
1651108793141443368,179,1651108793140168435,,0.0,0.0,1.0498689524371412,0.0,0.0,0.0,1.0
1651108793191592374,180,1651108793190301243,,0.0,0.0,1.0482083780492895,0.0,0.0,0.0,1.0
1651108793241526643,181,1651108793240275407,,0.0,0.0,1.0465182930466355,0.0,0.0,0.0,1.0
1651108793291852209,182,1651108793290623265,,0.0,0.0,1.0447807963120919,0.0,0.0,0.0,1.0
1651108793341527627,183,1651108793340313162,,0.0,0.0,1.0430273801631664,0.0,0.0,0.0,1.0
1651108793391355126,184,1651108793390298055,,0.0,0.0,1.0412465540827738,0.0,0.0,0.0,1.0
1651108793441590538,185,1651108793440322636,,0.0,0.0,1.039472609902932,0.0,0.0,0.0,1.0
1651108793491822616,186,1651108793490317477,,0.0,0.0,1.0377312969316594,0.0,0.0,0.0,1.0
1651108793541483763,187,1651108793540287422,,0.0,0.0,1.0360320248454096,0.0,0.0,0.0,1.0
1651108793591756778,188,1651108793590338096,,0.0,0.0,1.0343856423311808,0.0,0.0,0.0,1.0
1651108793641399227,189,1651108793640310594,,0.0,0.0,1.0328119762129384,0.0,0.0,0.0,1.0
1651108793691364693,190,1651108793690341164,,0.0,0.0,1.0313135488094822,0.0,0.0,0.0,1.0
1651108793741550418,191,1651108793740444128,,0.0,0.0,1.0298825375939555,0.0,0.0,0.0,1.0
1651108793792528060,192,1651108793791079587,,0.0,0.0,1.0284992819710486,0.0,0.0,0.0,1.0
1651108793841466299,193,1651108793840313447,,0.0,0.0,1.0272104166459544,0.0,0.0,0.0,1.0
1651108793891763741,194,1651108793890318288,,0.0,0.0,1.0259480780417178,0.0,0.0,0.0,1.0
1651108793941432231,195,1651108793940323338,,0.0,0.0,1.0247303208037655,0.0,0.0,0.0,1.0
1651108793991779308,196,1651108793990296096,,0.0,0.0,1.0235460619026182,0.0,0.0,0.0,1.0
1651108794041427384,197,1651108794040280575,,0.0,0.0,1.0223918012768471,0.0,0.0,0.0,1.0
1651108794091688527,198,1651108794090264690,,0.0,0.0,1.0212720947050455,0.0,0.0,0.0,1.0
1651108794141537800,199,1651108794140282554,,0.0,0.0,1.0201910872933426,0.0,0.0,0.0,1.0
1651108794191553685,200,1651108794190315262,,0.0,0.0,1.0191493546418542,0.0,0.0,0.0,1.0
1651108794241651861,201,1651108794240302137,,0.0,0.0,1.0181518235433624,0.0,0.0,0.0,1.0
1651108794291980139,202,1651108794290581093,,0.0,0.0,1.0171938241508565,0.0,0.0,0.0,1.0
1651108794341494051,203,1651108794340300106,,0.0,0.0,1.0162874764798666,0.0,0.0,0.0,1.0
1651108794392009097,204,1651108794390318127,,0.0,0.0,1.015417247350111,0.0,0.0,0.0,1.0
1651108794441522645,205,1651108794440300575,,0.0,0.0,1.0145891033841177,0.0,0.0,0.0,1.0
1651108794491440875,206,1651108794490475834,,0.0,0.0,1.0137945622343199,0.0,0.0,0.0,1.0
1651108794541832902,207,1651108794540305211,,0.0,0.0,1.0130372758319888,0.0,0.0,0.0,1.0
1651108794591701341,208,1651108794590302190,,0.0,0.0,1.0123133106118858,0.0,0.0,0.0,1.0
1651108794641781288,209,1651108794640335263,,0.0,0.0,1.0116225289985021,0.0,0.0,0.0,1.0
1651108794691704362,210,1651108794690314534,,0.0,0.0,1.0109689444840044,0.0,0.0,0.0,1.0
1651108794741475875,211,1651108794740304482,,0.0,0.0,1.0103524719297685,0.0,0.0,0.0,1.0
1651108794791443011,212,1651108794790117557,,0.0,0.0,1.0097715083168792,0.0,0.0,0.0,1.0
